NHCODE	NHingredient
100	ABACAVIR SULFATE
200	ACARBOSE
300	ACEBUTOLOL HYDROCHLORIDE
500	ACETAMINOPHEN BUTALBITAL
600	ACETAMINOPHEN BUTALBITAL CAFFEINE
700	ACETAMINOPHEN BUTALBITAL CAFFEINE CODEINE PHOSPHATE
800	ACETAMINOPHEN CODEINE PHOSPHATE
900	ACETAMINOPHEN DICHLORALANTIPYRINE ISOMETHEPTENE MUCATE (1:1)
1000	ACETAMINOPHEN HYDROCODONE BITARTRATE
1100	ACETAMINOPHEN OXYCODONE HYDROCHLORIDE
1200	ACETAMINOPHEN PROPOXYPHENE NAPSYLATE
1300	ACRIVASTINE PSEUDOEPHEDRINE HYDROCHLORIDE
1400	ACYCLOVIR
1500	ADAPALENE
1600	ALBUTEROL
1700	ALBUTEROL SULFATE IPRATROPIUM BROMIDE
1800	ALCLOMETASONE DIPROPIONATE
1900	ALENDRONATE SODIUM
70000	ALLERGY PILLS-UNSPECIFIED
2000	ALLOPURINOL
2100	ALPRAZOLAM
2200	ALPROSTADIL
2300	AMANTADINE HYDROCHLORIDE
2400	AMBROXOL HYDROCHLORIDE
2500	AMBROXOL HYDROCHLORIDE AMOXICILLIN
2600	AMILORIDE HYDROCHLORIDE
2700	AMILORIDE HYDROCHLORIDE HYDROCHLOROTHIAZIDE
2800	AMINOPHYLLINE
2900	AMIODARONE HYDROCHLORIDE
3000	AMITRIPTYLINE HYDROCHLORIDE
3100	AMITRIPTYLINE HYDROCHLORIDE CHLORDIAZEPOXIDE
3200	AMITRIPTYLINE HYDROCHLORIDE PERPHENAZINE
3300	AMLODIPINE BESYLATE
3400	AMLODIPINE BESYLATE BENAZEPRIL HYDROCHLORIDE
3500	AMOXICILLIN
3600	AMOXICILLIN TRIHYDRATE CLAVULANATE POTASSIUM
3700	AMPHETAMINE ASPARTATE AMPHETAMINE SULFATE DEXTROAMPHETAMINE SACCHARATE DEXTROAMPHETAMINE SULFATE
3800	AMPICILLIN
3900	AMRINONE LACTATE
4000	AMYLASE LIPASE PROTEASE
4100	ANASTROZOLE
70100	ANTIBIOTIC-UNSPECIFIED
70200	ANTIINFLAMMATORY DRUG-UNSPECIFIED
4200	ANTIPYRINE BENZOCAINE PHENYLEPHRINE HYDROCHLORIDE
4300	APRACLONIDINE HYDROCHLORIDE
70300	ARTHRITIS MEDICINE-UNSPECIFIED
4400	ASPIRIN
4500	ASPIRIN BUTALBITAL CAFFEINE
4600	ASPIRIN HYDROCODONE BITARTRATE
4700	ASPIRIN OXYCODONE HYDROCHLORIDE OXYCODONE TEREPHTHALATE
4800	ASTEMIZOLE
70400	ASTHMA SPRAY-UNSPECIFIED
4900	ATENOLOL
5000	ATENOLOL CHLORTHALIDONE
5100	ATORVASTATIN CALCIUM
5200	ATROPINE SULFATE BENZOIC ACID HYOSCYAMINE METHENAMINE METHYLENE BLUE PHENYL SALICYLATE
5300	ATROPINE SULFATE DIPHENOXYLATE HYDROCHLORIDE
5400	ATROPINE SULFATE HYOSCYAMINE SULFATE PHENOBARBITAL SCOPOLAMINE HYDROBROMIDE
5500	AURANOFIN
5600	AZATADINE MALEATE
5700	AZATHIOPRINE
5800	AZELASTINE HYDROCHLORIDE
5900	AZITHROMYCIN DIHYDRATE
6000	BACITRACIN
6100	BACLOFEN
6200	BECLOMETHASONE DIPROPIONATE
6300	BENAZEPRIL HYDROCHLORIDE
6400	BENAZEPRIL HYDROCHLORIDE HYDROCHLOROTHIAZIDE
6500	BENDROFLUMETHIAZIDE
6600	BENZONATATE
6700	BENZOYL PEROXIDE
6800	BENZOYL PEROXIDE ERYTHROMYCIN
6900	BENZTROPINE MESYLATE
7000	BETAMETHASONE
7100	BETAMETHASONE DIPROPIONATE
7200	BETAMETHASONE DIPROPIONATE CLOTRIMAZOLE
7300	BETAMETHASONE VALERATE
7400	BETAMETHASONE INDOMETHASONE METHOCARBAMOL
7500	BETAXOLOL HYDROCHLORIDE
7600	BETHANECHOL CHLORIDE
7700	BICALUTAMIDE
7800	BISOPROLOL FUMARATE
7900	BISOPROLOL FUMARATE HYDROCHLOROTHIAZIDE
8000	BRIMONIDINE TARTRATE
8100	BRINZOLAMIDE
8200	BROMOCRIPTINE MESYLATE
8300	BROMPHENIRAMINE MALEATE
8400	BROMPHENIRAMINE MALEATE CODEINE PHOSPHATE PHENYLPROPANOLAMINE HYDROCHLORIDE
8500	BROMPHENIRAMINE MALEATE DEXTROMETHORPHAN HYDROBROMIDE PSEUDOEPHEDRINE HYDROCHLORIDE
8600	BROMPHENIRAMINE MALEATE PHENYLPROPANOLAMINE HYDROCHLORIDE
8700	BROMPHENIRAMINE MALEATE PSEUDOEPHEDRINE HYDROCHLORIDE
8800	BUDESONIDE
8900	BUMETANIDE
9000	BUPROPION HYDROCHLORIDE
83100	BUSPIRONE HYDROCHLORIDE
9100	BUTABARBITAL SODIUM
9200	BUTABARBITAL HYOSCYAMINE HYDROBROMIDE PHENAZOPYRIDINE HYDROCHLORIDE
9300	CALCIPOTRIENE
9400	CALCITONIN, SALMON
9500	CALCIUM ACETATE
9600	CALCIUM GLUCONATE
9700	CANDESARTAN CILEXETIL
9800	CAPTOPRIL
9900	CAPTOPRIL HYDROCHLOROTHIAZIDE
10000	CARBAMAZEPINE
10100	CARBIDOPA LEVODOPA
10200	CARBINOXAMINE MALEATE DEXTROMETHORPHAN HYDROBROMIDE PSEUDOEPHEDRINE HYDROCHLORIDE
10300	CARBINOXAMINE MALEATE PSEUDOEPHEDRINE HYDROCHLORIDE
70500	CARDIAC DRUG-UNSPECIFIED
10400	CARISOPRODOL
10500	CARTEOLOL HYDROCHLORIDE
10600	CARVEDILOL
10700	CEFACLOR
10800	CEFADROXIL
10900	CEFDINIR
11000	CEFIXIME
11100	CEFPODOXIME PROXETIL
11200	CEFPROZIL
11300	CEFTIBUTEN
11400	CEFUROXIME AXETIL
11500	CELECOXIB
11600	CEPHALEXIN
11700	CERIVASTATIN SODIUM
11800	CETIRIZINE HYDROCHLORIDE
11900	CHLORAMBUCIL
12000	CHLORDIAZEPOXIDE HYDROCHLORIDE
12100	CHLORDIAZEPOXIDE HYDROCHLORIDE CLIDINIUM BROMIDE
12200	CHLORHEXIDINE GLUCONATE
12300	CHLOROQUINE HYDROCHLORIDE
12400	CHLOROTHIAZIDE
12500	CHLOROXINE
12600	CHLORPHENIRAMINE MALEATE CODEINE PHOSPHATE PSEUDOEPHEDRINE HYDROCHLORIDE
12700	CHLORPHENIRAMINE MALEATE DEXTROMETHORPHAN HYDROBROMIDE PHENYLEPHRINE HYDROCHLORIDE
12800	CHLORPHENIRAMINE MALEATE DEXTROMETHORPHAN GUAIFENESIN PHENYLEPHRINE HYDROCHLORIDE
12900	CHLORPHENIRAMINE MALEATE HYDROCODONE BITARTRATE PHENYLEPHRINE HYDROCHLORIDE
13000	CHLORPHENIRAMINE MALEATE HYDROCODONE BITARTRATE PSEUDOEPHEDRINE HYDROCHLORIDE
13100	CHLORPHENIRAMINE MALEATE METHSCOPOLAMINE NITRATE PHENYLEPHRINE HYDROCHLORIDE
13200	CHLORPHENIRAMINE MALEATE PHENYLEPHRINE HYDROCHLORIDE PHENYLPROPANOLAMINE HYDROCHLORIDE PHENYLTOLOXAMINE CITRATE
13300	CHLORPHENIRAMINE POLISTIREX HYDROCODONE POLISTIREX
13400	CHLORPHENIRAMINE TANNATE PHENYLEPHRINE TANNATE PYRILAMINE TANNATE
13500	CHLORPHENIRAMINE TANNATE PSEUDOEPHEDRINE TANNATE
13600	CHLORPROMAZINE HYDROCHLORIDE
13700	CHLORPROPAMIDE
13800	CHLORTHALIDONE
13900	CHLORTHALIDONE CLONIDINE HYDROCHLORIDE
14000	CHLORZOXAZONE
70600	CHOLESTEROL LOWERING DRUG-UNSPECIFIED
14100	CHOLESTYRAMINE
14200	CIMETIDINE HYDROCHLORIDE
14300	CIPROFLOXACIN HYDROCHLORIDE
14400	CIPROFLOXACIN HYDROCHLORIDE HYDROCORTISONE
14500	CISAPRIDE
14600	CITALOPRAM HYDROBROMIDE
14700	CLARITHROMYCIN
14800	CLINDAMYCIN HYDROCHLORIDE
14900	CLINDAMYCIN PHOSPHATE
15000	CLOBETASOL PROPIONATE
15100	CLOMIPHENE CITRATE
15200	CLONAZEPAM
15300	CLONIDINE
15400	CLOPIDOGREL BISULFATE
15500	CLORAZEPATE DIPOTASSIUM
15600	CLOTRIMAZOLE
15700	CODEINE PHOSPHATE GUAIFENESIN
15800	CODEINE PHOSPHATE GUAIFENESIN PSEUDOEPHEDRINE HYDROCHLORIDE
15900	CODEINE PHOSPHATE PHENYLEPHRINE HYDROCHLORIDE PROMETHAZINE HYDROCHLORIDE
16000	CODEINE PHOSPHATE PROMETHAZINE HYDROCHLORIDE
16100	COLCHICINE
16200	COLCHICINE PROBENECID
16300	COLESTIPOL HYDROCHLORIDE
16400	CORTISONE ACETATE
16500	CROMOLYN SODIUM
16600	CYCLOBENZAPRINE HYDROCHLORIDE
