CONCEPT_ID	CONCEPT_NAME	VOCABULARY_ID	CONCEPT_LEVEL	CONCEPT_CODE	CONCEPT_CLASS	VALID_START_DATE	VALID_END_DATE	INVALID_REASON
501343	hepatitis B hyperimmune globulin	8	2	26744	Ingredient	2005-06-12	2099-12-31	 
501488	Hepatitis B Vaccines	8	2	26746	Ingredient	2005-06-12	2099-12-31	 
505117	Intramuscular immunoglobulin	8	2	108067	Ingredient	2005-06-12	2099-12-31	 
507832	Human herpesvirus 3	8	2	11131	Ingredient	2005-06-12	2099-12-31	 
509079	meningococcal group A polysaccharide	8	2	29501	Ingredient	2005-06-12	2099-12-31	 
509081	meningococcal group C polysaccharide	8	2	29503	Ingredient	2005-06-12	2099-12-31	 
513909	heptavalent pneumococcal conjugate vaccine	8	2	119947	Ingredient	2005-09-11	2099-12-31	 
514012	MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135	8	2	314724	Ingredient	2005-06-12	2099-12-31	 
514015	MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y	8	2	314725	Ingredient	2005-06-12	2099-12-31	 
514834	Honey bee venom	8	2	124427	Ingredient	2005-06-12	2099-12-31	 
515671	Neisseria meningitidis	8	2	7288	Ingredient	2005-06-12	2099-12-31	 
522562	ZOSTER VACCINE LIVE (OKA-MERCK)	8	2	759603	Ingredient	2008-03-02	2010-05-02	D
523202	Typhoid Vaccine Live Ty21a	8	2	762595	Ingredient	2008-03-30	2099-12-31	 
523212	Rubella Virus Vaccine Live (Wistar RA 27-3 Strain)	8	2	762817	Ingredient	2008-03-30	2099-12-31	 
523283	Poliovirus vaccine inactivated, type 1 (Mahoney)	8	2	763096	Ingredient	2008-03-30	2099-12-31	 
523365	Poliovirus vaccine inactivated, type 2 (MEF-1)	8	2	763098	Ingredient	2008-03-30	2099-12-31	 
523367	Poliovirus vaccine inactivated, type 3 (Saukett)	8	2	763100	Ingredient	2008-03-30	2099-12-31	 
523620	Mumps Virus Vaccine, Live	8	2	763656	Ingredient	2008-03-30	2099-12-31	 
528263	Immune Globulin (Human)	8	2	797550	Ingredient	2008-06-29	2099-12-31	 
528271	Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine	8	2	797629	Ingredient	2008-06-29	2099-12-31	 
528295	Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine	8	2	797631	Ingredient	2008-06-29	2099-12-31	 
528297	Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine	8	2	797633	Ingredient	2008-06-29	2099-12-31	 
528301	Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine	8	2	797635	Ingredient	2008-06-29	2099-12-31	 
528323	Hepatitis B Surface Antigen Vaccine	8	2	797752	Ingredient	2008-06-29	2099-12-31	 
528986	Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine	8	2	798220	Ingredient	2008-06-29	2099-12-31	 
528988	Streptococcus pneumoniae serotype 18C capsular antigen diphtheria CRM197 protein conjugate vaccine	8	2	798222	Ingredient	2008-06-29	2099-12-31	 
528990	Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine	8	2	798224	Ingredient	2008-06-29	2099-12-31	 
529042	Streptococcus pneumoniae serotype 23F capsular antigen diphtheria CRM197 protein conjugate vaccine	8	2	798226	Ingredient	2008-06-29	2099-12-31	 
529044	Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine	8	2	798228	Ingredient	2008-06-29	2099-12-31	 
529046	Streptococcus pneumoniae serotype 6B capsular antigen diphtheria CRM197 protein conjugate vaccine	8	2	798230	Ingredient	2008-06-29	2099-12-31	 
529072	Streptococcus pneumoniae serotype 9V capsular antigen diphtheria CRM197 protein conjugate vaccine	8	2	798232	Ingredient	2008-06-29	2099-12-31	 
529076	L1 protein, Human papillomavirus type 11 Vaccine	8	2	798262	Ingredient	2008-06-29	2099-12-31	 
529112	L1 protein, Human papillomavirus type 16 Vaccine	8	2	798264	Ingredient	2008-06-29	2099-12-31	 
529114	L1 protein, Human papillomavirus type 18 Vaccine	8	2	798266	Ingredient	2008-06-29	2099-12-31	 
529116	L1 protein, Human papillomavirus type 6 Vaccine	8	2	798268	Ingredient	2008-06-29	2099-12-31	 
529118	Haemophilus influenzae b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine	8	2	798279	Ingredient	2008-06-29	2099-12-31	 
529176	Human-Bovine Reassortant Rotavirus Strain G1 Vaccine	8	2	798286	Ingredient	2008-06-29	2099-12-31	 
529180	Human-Bovine Reassortant Rotavirus Strain G2 Vaccine	8	2	798288	Ingredient	2008-06-29	2099-12-31	 
529212	Human-Bovine Reassortant Rotavirus Strain G3 Vaccine	8	2	798290	Ingredient	2008-06-29	2099-12-31	 
529214	Human-Bovine Reassortant Rotavirus Strain G4 Vaccine	8	2	798292	Ingredient	2008-06-29	2099-12-31	 
529216	Human-Bovine Reassortant Rotavirus Strain P1A[8] Vaccine	8	2	798294	Ingredient	2008-06-29	2099-12-31	 
529218	Acellular Pertussis Vaccine	8	2	798302	Ingredient	2008-06-29	2099-12-31	 
529303	Diphtheria Toxoid Vaccine	8	2	798304	Ingredient	2008-06-29	2099-12-31	 
529411	Tetanus Toxoid Vaccine	8	2	798306	Ingredient	2008-06-29	2099-12-31	 
529660	Hepatitis A Vaccine (Inactivated) Strain HM175	8	2	798361	Ingredient	2008-06-29	2099-12-31	 
529713	Mumps Virus Vaccine Live, Jeryl Lynn Strain	8	2	798372	Ingredient	2008-06-29	2099-12-31	 
530003	Haemophilus influenzae b, capsular polysaccharide Meningococcal Protein Conjugate Vaccine	8	2	798436	Ingredient	2008-06-29	2009-11-01	D
530007	Haemophilus influenzae b (Ross strain) capsular polysaccharide Meningococcal Protein Conjugate Vaccine	8	2	798444	Ingredient	2008-06-29	2099-12-31	 
532272	Measles Virus Vaccine Live, Enders' attenuated Edmonston strain	8	2	804179	Ingredient	2008-08-31	2099-12-31	 
532274	Yellow-Fever Virus Vaccine, 17D-204 strain	8	2	804187	Ingredient	2008-08-31	2099-12-31	 
532424	Influenza Virus Vaccine, Inactivated, A-H1N1 (A-Brisbane-59-2007) strain	8	2	805467	Ingredient	2008-09-28	2099-12-31	 
532430	Influenza Virus Vaccine, Inactivated, A-H3N2 (A-Uruguay-716-2007) strain	8	2	805469	Ingredient	2008-09-28	2099-12-31	 
532452	Influenza Virus Vaccine, Inactivated, Influenza B (B-Florida-4-2006) strain	8	2	805471	Ingredient	2008-09-28	2099-12-31	 
532454	Varicella Virus Vaccine Live (Oka-Merck) strain	8	2	805486	Ingredient	2008-09-28	2099-12-31	 
532460	Influenza Virus Vaccine, Inactivated A-Brisbane-10-2007 (H3N2)-like virus (A-Uruguay-716-2007 NYMC X-175C) strain	8	2	805520	Ingredient	2008-09-28	2099-12-31	 
532486	Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007 (H1N1)-like virus (A-Brisbane-59-2007 IVR-148) strain	8	2	805522	Ingredient	2008-09-28	2012-12-03	D
532488	Influenza Virus Vaccine, Inactivated, B-Florida-4-2006-like virus (B-Florida-4-2006) strain	8	2	805524	Ingredient	2008-09-28	2099-12-31	 
532512	Influenza Virus Vaccine, Live Attenuated, A-South Dakota-6-2007 (H1N1) (A-Brisbane-59-2007-like) strain	8	2	805537	Ingredient	2008-09-28	2099-12-31	 
532516	Influenza Virus Vaccine, Live Attenuated, A-Uruguay -716-2007 (H3N2) (A-Brisbane-10-2007-like) strain	8	2	805539	Ingredient	2008-09-28	2099-12-31	 
532518	Influenza Virus Vaccine, Live Attenuated, B-Florida-4-2006 strain	8	2	805541	Ingredient	2008-09-28	2099-12-31	 
532552	Influenza Virus Vaccine, Inactivated A-Brisbane-59-2007 (H1N1) strain	8	2	805549	Ingredient	2008-09-28	2099-12-31	 
532582	Influenza Virus Vaccine, Inactivated A-Uruguay-716-2007 (H3N2) (A-Brisbane-10-2007-like) strain	8	2	805551	Ingredient	2008-09-28	2099-12-31	 
532584	Influenza Virus Vaccine, Inactivated B-Florida-4-2006 strain	8	2	805553	Ingredient	2008-09-28	2099-12-31	 
532881	Typhoid Vi Polysaccharide Vaccine, S typhi Ty2 strain	8	2	807219	Ingredient	2008-09-28	2099-12-31	 
535345	Immunoglobins, Intravenous	8	2	353532	Ingredient	2005-06-12	2009-11-01	D
535714	Rho(D) Immune Globulin	8	2	35465	Ingredient	2005-06-12	2099-12-31	 
537411	Pneumococcal polysaccharides (7)	8	2	360487	Ingredient	2005-06-12	2099-12-31	 
537647	palivizumab	8	2	194279	Ingredient	2005-06-12	2099-12-31	 
538530	Candida albicans	8	2	1963	Ingredient	2005-06-12	2099-12-31	 
543287	Chickenpox Vaccine	8	2	39384	Ingredient	2005-06-12	2099-12-31	 
543291	varicella-zoster immune globulin	8	2	39385	Ingredient	2005-06-12	2099-12-31	 
543343	Vi polysaccharide vaccine, typhoid	8	2	39511	Ingredient	2005-06-12	2010-10-31	D
544411	rabies virus vaccine flury-lep strain	8	2	830457	Ingredient	2009-02-01	2099-12-31	 
544505	rabies virus vaccine wistar strain PM-1503-3M (Human)	8	2	830464	Ingredient	2009-02-01	2099-12-31	 
544509	rabies immune globulin, (human) vaccine	8	2	830471	Ingredient	2009-02-01	2099-12-31	 
551463	Lyme Disease Vaccines	8	2	214177	Ingredient	2005-06-12	2099-12-31	 
551749	Immunoglobulins, Intravenous	8	2	42386	Ingredient	2005-06-12	2099-12-31	 
551943	Pertussis, acellular	8	2	214755	Ingredient	2005-06-12	2010-05-02	D
551977	Poliovirus Vaccine, Inactivated	8	2	214781	Ingredient	2005-06-12	2099-12-31	 
559532	Yellow Fever Vaccine	8	2	89890	Ingredient	2005-06-12	2099-12-31	 
561401	Tetanus immune globulin, human	8	2	91603	Ingredient	2005-06-12	2099-12-31	 
561429	Polyvalent pneumococcal vaccine	8	2	91610	Ingredient	2005-06-12	2099-12-31	 
568224	Hepatitis B Surface Antigens	8	2	5240	Ingredient	2005-06-12	2099-12-31	 
571187	OspA protein	8	2	54214	Ingredient	2005-06-12	2099-12-31	 
581480	pegademase bovine	8	2	59768	Ingredient	2005-06-12	2099-12-31	 
586302	Diptheria protein	8	2	221091	Ingredient	2005-06-12	2099-12-31	 
586306	Haemophilus capsular oligosaccharide	8	2	221105	Ingredient	2005-06-12	2099-12-31	 
586413	pneumococcal polysaccharides (23)	8	2	221144	Ingredient	2005-06-12	2099-12-31	 
586488	yellow-fever virus	8	2	221182	Ingredient	2005-06-12	2099-12-31	 
586491	cytotect	8	2	22178	Ingredient	2005-06-12	2099-12-31	 
586530	Immune Globulin Subcutaneous (Human)	8	2	617615	Ingredient	2006-05-14	2099-12-31	 
590675	MEASLES VIRUS VACCINE,LIVE ATTENUATED	8	2	235574	Ingredient	2005-06-12	2099-12-31	 
590768	Mold Extract	8	2	235618	Ingredient	2005-06-12	2099-12-31	 
594249	Measles Vaccine	8	2	6669	Ingredient	2005-06-12	2099-12-31	 
595252	Cholera Vaccine	8	2	2427	Ingredient	2005-06-12	2099-12-31	 
596876	HEPATITIS A VACCINE (INACTIVATED)	8	2	253174	Ingredient	2005-06-12	2099-12-31	 
597056	ROTAVIRUS VACCINE, LIVE	8	2	253199	Ingredient	2005-06-12	2099-12-31	 
