source_code,source_code_description,freq
NULL,NULL,9769557
,,1784498
Not Mapped,Not Mapped,344160
Not a Medical Speciality,Not a Medical Speciality,297872
Family/General Practice,Family/General Practice,130350
Internal Medicine,Internal Medicine,113066
Undefined / Unknown,Undefined / Unknown,63755
Other,Other,63147
Pediatrics,Pediatrics,59084
Emergency/Trauma,Emergency/Trauma,39762
Radiology,Radiology,36014
DCPTEAM,DCPTEAM,35192
Obstetrics and Gynecology,Obstetrics and Gynecology,32470
"Surgery, General","Surgery, General",31648
Anesthesiology,Anesthesiology,30697
Orthopedics,Orthopedics,29336
Cardiology,Cardiology,27532
Psychiatry,Psychiatry,22023
Radiologist,Radiologist,19661
Neurology,Neurology,17930
Gastroenterology,Gastroenterology,16592
Ophthalmology,Ophthalmology,15056
Urology,Urology,14215
Family Practice,Family Practice,11336
Student,Student,10230
Otolaryngology,Otolaryngology,10085
Gynecology,Gynecology,9751
Obstetrics,Obstetrics,9522
Hematology/Oncology,Hematology/Oncology,9318
Pulmonology,Pulmonology,9007
Dentistry,Dentistry,8667
Surgeon,Surgeon,8127
Physical Medicine and Rehabilitation,Physical Medicine and Rehabilitation,7831
Surgical Specialty,Surgical Specialty,7516
Podiatry,Podiatry,7176
"Surgery, Neuro","Surgery, Neuro",7008
"Orthopedics, Reconstructive","Orthopedics, Reconstructive",6710
Hospitalist,Hospitalist,6510
Dermatology,Dermatology,6256
Health Care Provider,Health Care Provider,6084
"Surgery, Cardiovascular","Surgery, Cardiovascular",6030
Nephrology,Nephrology,5770
"Surgery, Plastic","Surgery, Plastic",5411
Oncology,Oncology,5388
Resident,Resident,5052
Pathology,Pathology,4658
Nurse Practitioner,Nurse Practitioner,4398
Physician's Assistant,Physician's Assistant,4228
Pathologist,Pathologist,4196
"Surgery, Maxillofacial","Surgery, Maxillofacial",4098
Infectious Diseases,Infectious Diseases,3894
General Medicine/Internal Medicine,General Medicine/Internal Medicine,3523
Endocrinology,Endocrinology,3325
Occupational Medicine,Occupational Medicine,3290
"Radiology, Radiation Oncology","Radiology, Radiation Oncology",2850
Allied Health Provider,Allied Health Provider,2775
Rheumatology,Rheumatology,2636
"Surgery, Vascular","Surgery, Vascular",2485
Radiology Resident,Radiology Resident,2296
Optometry,Optometry,2276
Chiropractor,Chiropractor,2263
Psychology,Psychology,2219
"Surgery, Pediatric","Surgery, Pediatric",1949
"Surgery, Cardiovascular/Thoracic","Surgery, Cardiovascular/Thoracic",1949
Neonatology,Neonatology,1905
Allergy and Immunology,Allergy and Immunology,1790
"Pediatrics, Gastroenterology","Pediatrics, Gastroenterology",1740
Alternative Health Provider,Alternative Health Provider,1612
"Cardiology, Pediatric","Cardiology, Pediatric",1516
Pathology Resident,Pathology Resident,1389
"Anesthesiology, Pain Management","Anesthesiology, Pain Management",1384
Pharmacist,Pharmacist,1221
"Internal Medicine, Geriatric","Internal Medicine, Geriatric",1121
Critical Care Medicine,Critical Care Medicine,986
No Value / Undefined,No Value / Undefined,974
Proxy,Proxy,965
Hematology,Hematology,945
"Surgery, Thoracic","Surgery, Thoracic",928
Laboratory,Laboratory,890
"Surgery, Urology","Surgery, Urology",822
"Surgery, Colon & Rectal","Surgery, Colon & Rectal",685
"Pediatrics, Critical Care","Pediatrics, Critical Care",647
Midwife,Midwife,637
Womens Health,Womens Health,600
"Pathology, Anatomic And Clinical","Pathology, Anatomic And Clinical",590
Sports Medicine,Sports Medicine,480
Case Manager,Case Manager,453
"Surgery, Ophthalmology","Surgery, Ophthalmology",438
Registered Nurse,Registered Nurse,428
"Pediatrics, Emergency Medicine","Pediatrics, Emergency Medicine",415
"Pediatrics, Neurology","Pediatrics, Neurology",392
"Pediatrics, Endocrinology","Pediatrics, Endocrinology",377
"Psychiatry, Child/Adolescent","Psychiatry, Child/Adolescent",373
Preventive Medicine,Preventive Medicine,357
"Medical Genetics, Clinical Genetics - M.","Medical Genetics, Clinical Genetics - M.",345
"Pediatrics, Neonatal-Perinatal Medicine","Pediatrics, Neonatal-Perinatal Medicine",341
Certified Registered Nurse Anesthetist,Certified Registered Nurse Anesthetist,339
"Anesthesiology, Pediatric","Anesthesiology, Pediatric",332
Public Health,Public Health,324
"Surgery, Trauma","Surgery, Trauma",292
"Endocrinology, Metabolism","Endocrinology, Metabolism",289
"Surgery, Transplantation","Surgery, Transplantation",270
"Radiology, Pediatric Radiology","Radiology, Pediatric Radiology",259
Behavior Health,Behavior Health,244
